"x"
"591001"
"187327"
"1203555"
"1073349"
"411490"
"105841"
"105841"
"445972"
"1073350"
"665957"
"411901"
"997873"
"997874"
"537012"
"547042"
"556260"
"997875"
"997876"
"997877"
"483217"
"483216"
"997888"
"483215"
"457424"
"997879"
"997880"
"997883"
"272559"
"471870"
"665954"
"411476"
"484018"
"997887"
"457387"
"818"
"817"
"469588"
"469592"
"457393"
"457395"
"585543"
"449673"
"1073351"
NA
NA
NA
NA
NA
NA
NA
NA
NA
"226186"
NA
NA
"411479"
"435590"
"997891"
"657309"
"411481"
"500634"
"518634"
"326426"
"566552"
"473819"
"561180"
"391904"
"206672"
"548480"
"547043"
"537007"
"1121114"
"451640"
"1639133"
"1639133"
"500640"
"556261"
"742731"
"518636"
"411902"
"1073368"
"742732"
"1073355"
"1073356"
"1073357"
"742733"
"742735"
"742736"
"742737"
"553973"
"428125"
"742739"
"610130"
"411468"
"471871"
"742740"
"742741"
"411903"
"470146"
"1078091"
"411464"
"411464"
"411461"
"411462"
"479437"
"500639"
"525278"
"749491"
"1134822"
"525279"
"511145 "
"515620"
"515619"
"428128"
"411463"
NA
"1204475"
"556264"
"457404"
"638301"
"518637"
"545696"
"566550"
"445973"
"658655"
"658082"
"1423829 "
"220668"
"525341"
"557436 "
"568703"
"525361"
"525362"
"272623"
"478749"
"500635"
"435591"
"1073364"
"537006"
"411477"
"999421"
"563193"
"1073365"
"471881"
"500637"
"471874"
"40518"
"411470"
"1073375"
"1073376"
"411460"
"649764"
"1073372"
"322159"
"411471"
"500632"
"1357413"
"1203593"
